asset_id,asset_type,room_id,room_name,category,tier,component_id,component_name,component_kind,state_key,priority,prompt
basic_hull_t1__damage_indicator_strip__base,component,basic_hull_t1,Basic Hull Plating Module,hull,1,damage_indicator_strip,Damage Indicator Strip,interactive,base,p0,"Using the attached style reference, create a single isolated room component sprite for a spacecraft dollhouse interior system. Component: Damage Indicator Strip. Category: Basic Hull Plating Module. Side-view cross-section, clean cutout silhouette, no text, no labels, no UI, no characters. Designed for 2:1 room tile composition. match this style exactly; side-view cutaway module language; no text/no labels/no UI; consistent line weight and colour temperature with reference."
basic_hull_t1__inspection_access_panel__base,component,basic_hull_t1,Basic Hull Plating Module,hull,1,inspection_access_panel,Inspection Access Panel,interactive,base,p0,"Using the attached style reference, create a single isolated room component sprite for a spacecraft dollhouse interior system. Component: Inspection Access Panel. Category: Basic Hull Plating Module. Side-view cross-section, clean cutout silhouette, no text, no labels, no UI, no characters. Designed for 2:1 room tile composition. match this style exactly; side-view cutaway module language; no text/no labels/no UI; consistent line weight and colour temperature with reference."
basic_hull_t1__layered_armour_wall__base,component,basic_hull_t1,Basic Hull Plating Module,hull,1,layered_armour_wall,layered armour wall,structural,base,p1,"Using the attached style reference, create a single isolated room component sprite for a spacecraft dollhouse interior system. Component: layered_armour_wall. Category: Basic Hull Plating Module. Side-view cross-section, clean cutout silhouette, no text, no labels, no UI, no characters. Designed for 2:1 room tile composition. match this style exactly; side-view cutaway module language; no text/no labels/no UI; consistent line weight and colour temperature with reference."
basic_hull_t1__reinforcement_struts__base,component,basic_hull_t1,Basic Hull Plating Module,hull,1,reinforcement_struts,reinforcement struts,structural,base,p1,"Using the attached style reference, create a single isolated room component sprite for a spacecraft dollhouse interior system. Component: reinforcement_struts. Category: Basic Hull Plating Module. Side-view cross-section, clean cutout silhouette, no text, no labels, no UI, no characters. Designed for 2:1 room tile composition. match this style exactly; side-view cutaway module language; no text/no labels/no UI; consistent line weight and colour temperature with reference."
basic_hull_t1__damage_indicator_strip__active,state_variant,basic_hull_t1,Basic Hull Plating Module,hull,1,damage_indicator_strip,Damage Indicator Strip,interactive,active,p1,"Using the attached style reference and matching the base component exactly, create state variant 'active' for component 'Damage Indicator Strip' in 'Basic Hull Plating Module'. Change only state cues: brighter active glow, subtle motion/energy cues, engaged indicators. Preserve camera, scale, line weight, material details. No text, no labels, no UI. match this style exactly; side-view cutaway module language; no text/no labels/no UI; consistent line weight and colour temperature with reference."
basic_hull_t1__damage_indicator_strip__cooldown,state_variant,basic_hull_t1,Basic Hull Plating Module,hull,1,damage_indicator_strip,Damage Indicator Strip,interactive,cooldown,p1,"Using the attached style reference and matching the base component exactly, create state variant 'cooldown' for component 'Damage Indicator Strip' in 'Basic Hull Plating Module'. Change only state cues: reduced glow with cooling/venting cues and amber warning flicker. Preserve camera, scale, line weight, material details. No text, no labels, no UI. match this style exactly; side-view cutaway module language; no text/no labels/no UI; consistent line weight and colour temperature with reference."
basic_hull_t1__damage_indicator_strip__damaged,state_variant,basic_hull_t1,Basic Hull Plating Module,hull,1,damage_indicator_strip,Damage Indicator Strip,interactive,damaged,p1,"Using the attached style reference and matching the base component exactly, create state variant 'damaged' for component 'Damage Indicator Strip' in 'Basic Hull Plating Module'. Change only state cues: visible wear, sparks or cracks, warning lights and degraded output. Preserve camera, scale, line weight, material details. No text, no labels, no UI. match this style exactly; side-view cutaway module language; no text/no labels/no UI; consistent line weight and colour temperature with reference."
basic_hull_t1__damage_indicator_strip__depleted,state_variant,basic_hull_t1,Basic Hull Plating Module,hull,1,damage_indicator_strip,Damage Indicator Strip,interactive,depleted,p1,"Using the attached style reference and matching the base component exactly, create state variant 'depleted' for component 'Damage Indicator Strip' in 'Basic Hull Plating Module'. Change only state cues: minimal or no glow, offline indicators, depleted resource cues. Preserve camera, scale, line weight, material details. No text, no labels, no UI. match this style exactly; side-view cutaway module language; no text/no labels/no UI; consistent line weight and colour temperature with reference."
basic_hull_t1__damage_indicator_strip__idle,state_variant,basic_hull_t1,Basic Hull Plating Module,hull,1,damage_indicator_strip,Damage Indicator Strip,interactive,idle,p1,"Using the attached style reference and matching the base component exactly, create state variant 'idle' for component 'Damage Indicator Strip' in 'Basic Hull Plating Module'. Change only state cues: stable indicator lights, neutral glow, no motion cues. Preserve camera, scale, line weight, material details. No text, no labels, no UI. match this style exactly; side-view cutaway module language; no text/no labels/no UI; consistent line weight and colour temperature with reference."
basic_hull_t1__inspection_access_panel__active,state_variant,basic_hull_t1,Basic Hull Plating Module,hull,1,inspection_access_panel,Inspection Access Panel,interactive,active,p1,"Using the attached style reference and matching the base component exactly, create state variant 'active' for component 'Inspection Access Panel' in 'Basic Hull Plating Module'. Change only state cues: brighter active glow, subtle motion/energy cues, engaged indicators. Preserve camera, scale, line weight, material details. No text, no labels, no UI. match this style exactly; side-view cutaway module language; no text/no labels/no UI; consistent line weight and colour temperature with reference."
